path,split,label
val\clap\syn_clap_0.wav,val,clap
val\clap\syn_clap_104.wav,val,clap
val\clap\syn_clap_11.wav,val,clap
val\clap\syn_clap_110.wav,val,clap
val\clap\syn_clap_111.wav,val,clap
val\clap\syn_clap_112.wav,val,clap
val\clap\syn_clap_113.wav,val,clap
val\clap\syn_clap_114.wav,val,clap
val\clap\syn_clap_117.wav,val,clap
val\clap\syn_clap_119.wav,val,clap
val\clap\syn_clap_12.wav,val,clap
val\clap\syn_clap_124.wav,val,clap
val\clap\syn_clap_125.wav,val,clap
val\clap\syn_clap_126.wav,val,clap
val\clap\syn_clap_128.wav,val,clap
val\clap\syn_clap_129.wav,val,clap
val\clap\syn_clap_13.wav,val,clap
val\clap\syn_clap_133.wav,val,clap
val\clap\syn_clap_136.wav,val,clap
val\clap\syn_clap_137.wav,val,clap
val\clap\syn_clap_138.wav,val,clap
val\clap\syn_clap_139.wav,val,clap
val\clap\syn_clap_14.wav,val,clap
val\clap\syn_clap_141.wav,val,clap
val\clap\syn_clap_142.wav,val,clap
val\clap\syn_clap_148.wav,val,clap
val\clap\syn_clap_149.wav,val,clap
val\clap\syn_clap_150.wav,val,clap
val\clap\syn_clap_151.wav,val,clap
val\clap\syn_clap_152.wav,val,clap
val\clap\syn_clap_156.wav,val,clap
val\clap\syn_clap_159.wav,val,clap
val\clap\syn_clap_16.wav,val,clap
val\clap\syn_clap_160.wav,val,clap
val\clap\syn_clap_163.wav,val,clap
val\clap\syn_clap_164.wav,val,clap
val\clap\syn_clap_165.wav,val,clap
val\clap\syn_clap_166.wav,val,clap
val\clap\syn_clap_17.wav,val,clap
val\clap\syn_clap_173.wav,val,clap
val\clap\syn_clap_174.wav,val,clap
val\clap\syn_clap_175.wav,val,clap
val\clap\syn_clap_178.wav,val,clap
val\clap\syn_clap_18.wav,val,clap
val\clap\syn_clap_180.wav,val,clap
val\clap\syn_clap_184.wav,val,clap
val\clap\syn_clap_187.wav,val,clap
val\clap\syn_clap_188.wav,val,clap
val\clap\syn_clap_190.wav,val,clap
val\clap\syn_clap_191.wav,val,clap
val\clap\syn_clap_192.wav,val,clap
val\clap\syn_clap_194.wav,val,clap
val\clap\syn_clap_196.wav,val,clap
val\clap\syn_clap_197.wav,val,clap
val\clap\syn_clap_199.wav,val,clap
val\clap\syn_clap_200.wav,val,clap
val\clap\syn_clap_205.wav,val,clap
val\clap\syn_clap_206.wav,val,clap
val\clap\syn_clap_207.wav,val,clap
val\clap\syn_clap_208.wav,val,clap
val\clap\syn_clap_21.wav,val,clap
val\clap\syn_clap_211.wav,val,clap
val\clap\syn_clap_212.wav,val,clap
val\clap\syn_clap_217.wav,val,clap
val\clap\syn_clap_218.wav,val,clap
val\clap\syn_clap_219.wav,val,clap
val\clap\syn_clap_22.wav,val,clap
val\clap\syn_clap_220.wav,val,clap
val\clap\syn_clap_221.wav,val,clap
val\clap\syn_clap_226.wav,val,clap
val\clap\syn_clap_228.wav,val,clap
val\clap\syn_clap_23.wav,val,clap
val\clap\syn_clap_231.wav,val,clap
val\clap\syn_clap_233.wav,val,clap
val\clap\syn_clap_234.wav,val,clap
val\clap\syn_clap_235.wav,val,clap
